iter	Logloss
0	0.2982315261
1	0.235152579
2	0.2075294526
3	0.1938775802
4	0.1886685641
5	0.185701149
6	0.1841965032
7	0.1833934534
8	0.1815698774
9	0.1804752204
10	0.1797854459
11	0.1796790187
12	0.1796126318
13	0.1794438476
14	0.1787964118
15	0.1787870024
16	0.1786725127
17	0.1786722862
18	0.1783034518
19	0.1783034098
20	0.1782036947
21	0.1781398972
22	0.1777795601
23	0.1772283563
24	0.1771280055225	0.1767226965226	0.1767047728227	0.1763651828228	0.1757143881229	0.1754884956330	0.1748011844331	0.1747778517332	0.1746182348333	0.1742524881334	0.1742222173335	0.1741964943336	0.1736060543337	0.1734504053338	0.1725989773339	0.1724457014440	0.1723650864441	0.1722320274442	0.1715050143443	0.17147951444	0.1705485804445	0.169825931
46	0.1698034684747	0.1696743194848	0.1696600044949	0.169430335550	0.1690244315551	0.1689032315552	0.1688747935553	0.1686134365554	0.1684826715555	0.1684760025656	0.1681733355757	0.1679907135858	0.1679502465959	0.1678057476060	0.167799528661	0.1677248239662	0.167496137
63	0.1674721026
64	0.1672625032
65	0.1672525161
66	0.1666837585
67	0.1666659572
68	0.1664674604
69	0.1664579057
70	0.1664229282
71	0.1657789768772	0.1657759607373	0.1655074967474	0.1654709837575	0.1654375327676	0.1654085217777	0.1653951247878	0.1649648717779	0.1648071418
85
