iter	Passed	Remaining
0	203	16042
1	373	14563
2	495	12716
3	614	11674
4	744	11166
5	941	11614
6	1171	12214
7	1259	11335
8	1354	10681
9	1519	10633
10	1719	10787
11	1830	10375
12	1961	10109
13	2074	9781
14	2181	9454
15	2292	9168
16	2402	8904
17	2530	8716
18	2674	8586
19	2771	8314
20	2893	8129
21	3021	7965
22	3145	7795
23	3283	7662
24	3407	7496
25	3557	7389
26	3676	7216
27	3806	7068
28	3943	6935
29	4079	6799
30	4213	6659
31	4341	6512
32	4501	6410
33	4640	6278
34	4767	6129
35	4878	5962
36	5006	5818
37	5137	5677
38	5265	5535
39	5392	5392
40	5585	5312
41	5714	5169
42	5844	5029
43	5971	4885
44	6121	4761
45	6243	4614
46	6363	4467
47	6525	4350
48	6671	4220
49	6801	4080
50	6930	3940
51	7068	3806
52	7196	3665
53	7326	3527
54	7486	3402
55	7653	3280
56	7777	3138
57	7901	2997
58	8025	2856
59	8187	2729
60	8307	2587
61	8431	2447
62	8596	2319
63	8717	2179
64	8848	2041
65	8966	1902
66	9107	1767
67	9248	1632
68	9376	1494
69	9515	1359
70	9644	1222
71	9807	1089
72	9926	951
73	10048	814
74	10178	678
75	10300	542
76	10426	406
77	10581	271
78	10707	135
79	10861	0
