iter	Logloss
0	0.6806461869
1	0.6687609889
2	0.6571798271
3	0.6458885319
4	0.634789082
5	0.6240075608
6	0.6135835368
7	0.6034169995
8	0.5934623402
9	0.5838372315
10	0.5742552327
11	0.5649744708
12	0.5560971988
13	0.5473904998
14	0.5389770042
15	0.5305849024
16	0.522613365
17	0.5148512836
18	0.5072888239
19	0.4999352999
20	0.4927776362
21	0.4856932892
22	0.4786253554
23	0.4716166499
24	0.4649599254
25	0.4585086152
26	0.4523471726
27	0.4463755914
28	0.4406337113
29	0.4349975116
30	0.4295579208
31	0.4241183223
32	0.4186232157
33	0.4136154568
34	0.4085940205
35	0.4038518477
36	0.3992360327
37	0.3947414011
38	0.3898455866
39	0.3854300119
40	0.3811757357
41	0.3768370649
42	0.3725660935
43	0.3684140749
44	0.364340011
45	0.3607461738
46	0.3569953924
47	0.3530262961
48	0.3491469804
49	0.3455902059
50	0.3420757504
51	0.3388034478
52	0.3353476258
53	0.3322857603
54	0.3288873171
55	0.325757615
56	0.3229668196
57	0.3199554992
58	0.3173548441
59	0.3147290842
60	0.3123809331
61	0.3096192483
62	0.3069555916
63	0.3047538749
64	0.3024227498
65	0.2998582053
66	0.2973564354
67	0.2952690472
68	0.2925766916
69	0.2901708309
70	0.2878127919
71	0.2857166594
72	0.2840452934
73	0.2816685194
74	0.2791935405
75	0.2770350283
76	0.2751504939
77	0.2737041026
78	0.2715868612
79	0.2695665695
80	0.2675723166
81	0.26555212
82	0.263917739
83	0.2620573655
84	0.2600142054
85	0.2581272395
86	0.2563382177
87	0.254780716
88	0.2537387714
89	0.2520853593
90	0.2505957214
91	0.2489873928
92	0.2475329423
93	0.2460333347
94	0.244439856
95	0.2429955687
96	0.2413819993
97	0.2397715963
98	0.2385460979
99	0.2371175367
100	0.2356704792
101	0.234282759
102	0.2336022264
103	0.2321968825
104	0.2307954367
105	0.2294809237
106	0.2282248413
107	0.2269826847
108	0.2257290351
109	0.2245615195
110	0.2234639671
111	0.2223291615
112	0.221116913
113	0.2199795261
114	0.2189198982
115	0.2178430728
116	0.2168789186
117	0.2159274374
118	0.2148526833
119	0.2139767095
120	0.2130871524
121	0.2121414427
122	0.2112525367
123	0.2104089958
124	0.2095519727
125	0.2088329136
126	0.2081256894
127	0.2073475261
128	0.2066305015
129	0.2058809869
130	0.205105716
131	0.2043913644
132	0.2037252419
133	0.203032135
134	0.202365362
135	0.2016934069
136	0.2010181609
137	0.2004029408
138	0.1997824426
139	0.1991199967
140	0.1985392236
141	0.1979687406
142	0.1973648104
143	0.1968050036
144	0.1962048751
145	0.195621931
146	0.1950635495
147	0.194514394
148	0.1939513174
149	0.1935421618
150	0.1930588204
151	0.192526644
152	0.1920936954
153	0.1916088854
154	0.1911586904
155	0.1907421556
156	0.1902594598
157	0.1898291359
158	0.1893711248
159	0.1890104055
160	0.1886156411
161	0.1881598053
162	0.1878448904
163	0.187427049
164	0.1870421052
165	0.1866338416
166	0.1863040753
167	0.1859368986
168	0.1855682339
169	0.1852209621
170	0.1848563125
171	0.1845668626
172	0.1842511865
173	0.1839112507
174	0.183631213
175	0.1833655165
176	0.1831499128
177	0.1828534832
178	0.1826293566
179	0.1823494326
180	0.1820423464
181	0.1817465207
182	0.1814748879
183	0.1811985281
184	0.1809647924
185	0.1807000763
186	0.1804788108
187	0.180230992
188	0.1799741743
189	0.1797222109
190	0.1795098351
191	0.1793010268
192	0.1790610422
193	0.1788567522
194	0.1786497886
195	0.1784508137
196	0.1782339847
197	0.1780432902
198	0.1778646546
199	0.1777103835
200	0.1775169271
201	0.1773008235
202	0.1771112215
203	0.1769175595
204	0.1767620075
205	0.1765832092
206	0.1764066302
207	0.176237224
208	0.176095939
209	0.1759656814
210	0.1757999943
211	0.1756485709
212	0.175491435
213	0.1753289678
214	0.175181258
215	0.1750227611
216	0.1748727861
217	0.174735548
218	0.174581929
219	0.1744107949
220	0.1742270822
221	0.174035867
222	0.1738581635
223	0.1737024186
224	0.1735709002
225	0.17344165
226	0.1733113069
227	0.1731636026
228	0.1730303629
229	0.1728905204
230	0.1727587705
231	0.1726316845
232	0.1725000356
233	0.1723659221
234	0.1722697114
235	0.1721386483
236	0.1719916005
237	0.1718668782
238	0.1717128671
239	0.1715339908
240	0.1713466883
241	0.1712181652
242	0.171046636
243	0.1708868006
244	0.1707484908
245	0.1706188376
246	0.1704409552
247	0.1702901737
248	0.1702223265
249	0.1700907311
250	0.1699749723
251	0.1698440821
252	0.169718317
253	0.1695925402
254	0.1694777343
255	0.1693403614
256	0.1691933277
257	0.1690893536
258	0.1689703966
259	0.1688551484
260	0.1687394775
261	0.1686457148
262	0.1685232265
263	0.1684228027
264	0.1683032877
265	0.168202794
266	0.1681027039
267	0.1679913849
268	0.1678716915
269	0.1677850812
270	0.1676895166
271	0.1675778061
272	0.1674833833
273	0.1673833499
274	0.1672923107
275	0.1672009498
276	0.1671489177
277	0.167054596
278	0.1669679317
279	0.1668876152
280	0.1668077287
281	0.1667379087
282	0.1666973279
283	0.1666043167
284	0.1665031117
285	0.1664424825
286	0.1663732299
287	0.1662953706
288	0.1662209439
289	0.1661336106
290	0.1660597913
291	0.1659702241
292	0.165859093
293	0.165814594
294	0.1657312267
295	0.165710022
296	0.1656413329
297	0.1655498792
298	0.1654856981
299	0.1654348964
300	0.1653537048
301	0.1652853703
302	0.165224481
303	0.1651692783
304	0.1650849847
305	0.1650318344
306	0.1649749688
307	0.1649196302
308	0.1648798209
309	0.1647753895
310	0.1647273573
311	0.1646348138
312	0.164559923
313	0.164463807
314	0.1644103286
315	0.1643295478
316	0.1642602252
317	0.1641884124
318	0.1641056682
319	0.1640113132
320	0.1639418535
321	0.1638756995
322	0.1638274094
323	0.163780653
324	0.1637175955
325	0.1636590493
326	0.1636123749
327	0.1635352223
328	0.1635186211
329	0.1634641298
330	0.1634221226
331	0.1633466394
332	0.1632945828
333	0.1632245614
334	0.1631272335
335	0.1630844167
336	0.1630106973
337	0.1629519896
338	0.1629041286
339	0.1628311786
340	0.1627931198
341	0.1627576306
342	0.1627054492
343	0.1626366961
344	0.1625923081
345	0.1625550117
346	0.1625010579
347	0.1624510025
348	0.1624227345
349	0.1623943729
350	0.1623315238
351	0.1622771013
352	0.16222817
353	0.1621856989
354	0.162146674
355	0.1620960113
356	0.1620430476
357	0.1620128524
358	0.1619844035
359	0.1619443954
360	0.1618961417
361	0.1618709476
362	0.1617976904
363	0.1617687254
364	0.1617184366
365	0.1616654606
366	0.1616370814
367	0.1616243237
368	0.1615934777
369	0.1615549255
370	0.1615187801
371	0.161502182
372	0.1614568833
373	0.1614410795
374	0.1613953194
375	0.1613527478
376	0.1613287546
377	0.1612858086
378	0.1612489567
379	0.1612046372
380	0.1611574408
381	0.1611138686
382	0.1610880539
383	0.1610544869
384	0.1610336533
385	0.1610101957
386	0.1609791525
387	0.1609642618
388	0.160940727
389	0.1608827078
390	0.1608729809
391	0.1608204573
392	0.1607988363
393	0.160772409
394	0.1607209759
395	0.1606861363
396	0.1606573214
397	0.1606247392
398	0.1605744623
399	0.1605417423
