iter	Passed	Remaining
0	21	8620
1	33	6692
2	39	5280
3	51	5073
4	61	4891
5	72	4752
6	78	4410
7	89	4368
8	94	4122
9	99	3895
10	107	3802
11	121	3920
12	129	3842
13	136	3763
14	141	3624
15	152	3656
16	157	3549
17	165	3512
18	170	3428
19	175	3343
20	182	3295
21	189	3250
22	199	3274
23	208	3270
24	218	3282
25	229	3303
26	244	3382
27	258	3432
28	263	3376
29	273	3374
30	278	3314
31	287	3301
32	300	3341
33	305	3292
34	319	3328
35	325	3292
36	331	3256
37	337	3210
38	350	3247
39	367	3305
40	376	3300
41	387	3301
42	400	3322
43	414	3351
44	429	3386
45	436	3358
46	443	3332
47	453	3326
48	464	3329
49	470	3295
50	485	3318
51	495	3318
52	502	3288
53	514	3293
54	526	3303
55	533	3274
56	540	3252
57	550	3246
58	558	3227
59	568	3222
60	573	3189
61	594	3239
62	604	3235
63	611	3212
64	623	3211
65	634	3213
66	646	3211
67	655	3199
68	670	3217
69	681	3214
70	690	3199
71	707	3223
72	714	3198
73	729	3211
74	744	3227
75	763	3253
76	783	3286
77	790	3264
78	811	3298
79	833	3333
80	849	3343
81	870	3375
82	881	3365
83	906	3410
84	917	3399
85	932	3405
86	943	3395
87	959	3403
88	964	3371
89	982	3385
90	993	3375
91	1005	3366
92	1018	3362
93	1028	3349
94	1047	3363
95	1066	3378
96	1085	3391
97	1102	3397
98	1122	3413
99	1147	3442
100	1167	3455
101	1188	3472
102	1193	3442
103	1220	3472
104	1238	3478
105	1255	3483
106	1266	3467
107	1285	3476
108	1309	3495
109	1333	3514
110	1363	3549
111	1383	3556
112	1412	3586
113	1433	3596
114	1454	3603
115	1472	3605
116	1499	3627
117	1514	3619
118	1541	3641
119	1558	3636
120	1579	3641
121	1600	3647
122	1614	3635
123	1630	3629
124	1651	3633
125	1665	3622
126	1686	3625
127	1703	3619
128	1713	3599
129	1726	3585
130	1743	3580
131	1755	3565
132	1767	3548
133	1789	3552
134	1802	3537
135	1812	3518
136	1825	3503
137	1848	3508
138	1862	3497
139	1879	3491
140	1901	3493
141	1913	3476
142	1927	3464
143	1939	3448
144	1959	3446
145	1977	3441
146	2004	3450
147	2016	3434
148	2039	3435
149	2049	3416
150	2060	3398
151	2074	3385
152	2090	3375
153	2107	3366
154	2121	3353
155	2137	3342
156	2155	3336
157	2178	3337
158	2192	3323
159	2214	3322
160	2243	3329
161	2255	3312
162	2272	3304
163	2289	3295
164	2317	3300
165	2331	3286
166	2360	3292
167	2376	3281
168	2392	3270
169	2404	3253
170	2419	3240
171	2434	3226
172	2451	3216
173	2470	3209
174	2500	3214
175	2527	3217
176	2548	3210
177	2574	3211
178	2588	3195
179	2610	3190
180	2633	3186
181	2648	3172
182	2673	3170
183	2689	3157
184	2717	3157
185	2734	3146
186	2755	3138
187	2782	3137
188	2799	3125
189	2814	3111
190	2831	3097
191	2849	3087
192	2879	3088
193	2894	3073
194	2909	3058
195	2928	3047
196	2949	3039
197	2969	3029
198	2987	3017
199	3014	3014
200	3029	2999
201	3048	2988
202	3076	2985
203	3091	2970
204	3106	2954
205	3122	2940
206	3154	2941
207	3172	2928
208	3185	2911
209	3197	2892
210	3217	2881
211	3254	2886
212	3277	2877
213	3294	2863
214	3315	2853
215	3329	2836
216	3345	2821
217	3375	2818
218	3396	2806
219	3426	2803
220	3439	2785
221	3465	2778
222	3476	2759
223	3490	2742
224	3509	2729
225	3522	2712
226	3541	2698
227	3553	2680
228	3569	2665
229	3586	2650
230	3609	2640
231	3629	2628
232	3658	2622
233	3675	2607
234	3692	2592
235	3718	2583
236	3738	2571
237	3753	2555
238	3778	2545
239	3809	2539
240	3830	2527
241	3858	2518
242	3886	2511
243	3902	2495
244	3915	2477
245	3943	2468
246	3962	2454
247	3982	2440
248	4009	2431
249	4023	2414
250	4052	2405
251	4067	2389
252	4099	2382
253	4116	2365
254	4128	2347
255	4145	2331
256	4161	2315
257	4184	2302
258	4199	2286
259	4218	2271
260	4230	2252
261	4258	2242
262	4274	2226
263	4299	2215
264	4317	2199
265	4339	2186
266	4370	2177
267	4388	2161
268	4402	2144
269	4417	2126
270	4432	2109
271	4470	2103
272	4493	2090
273	4509	2073
274	4528	2058
275	4561	2049
276	4579	2033
277	4592	2015
278	4607	1998
279	4631	1985
280	4645	1967
281	4665	1952
282	4690	1939
283	4702	1920
284	4725	1906
285	4754	1895
286	4765	1876
287	4779	1858
288	4795	1841
289	4825	1830
290	4839	1812
291	4864	1799
292	4888	1785
293	4901	1767
294	4930	1754
295	4964	1744
296	4978	1726
297	4999	1711
298	5031	1699
299	5054	1684
300	5070	1667
301	5099	1654
302	5117	1638
303	5135	1621
304	5149	1603
305	5168	1587
306	5196	1574
307	5213	1557
308	5233	1541
309	5265	1528
310	5293	1514
311	5320	1500
312	5351	1487
313	5369	1470
314	5388	1454
315	5403	1436
316	5417	1418
317	5438	1402
318	5467	1388
319	5493	1373
320	5522	1359
321	5549	1344
322	5575	1329
323	5604	1314
324	5620	1296
325	5638	1279
326	5662	1264
327	5694	1250
328	5703	1230
329	5724	1214
330	5753	1199
331	5779	1183
332	5806	1168
333	5837	1153
334	5854	1135
335	5871	1118
336	5888	1100
337	5913	1084
338	5938	1068
339	5961	1051
340	5992	1036
341	6016	1020
342	6037	1003
343	6065	987
344	6085	970
345	6102	952
346	6121	934
347	6138	917
348	6157	899
349	6182	883
350	6212	867
351	6242	851
352	6271	835
353	6294	817
354	6320	801
355	6351	784
356	6382	768
357	6399	750
358	6426	733
359	6457	717
360	6488	700
361	6516	684
362	6547	667
363	6574	650
364	6595	632
365	6630	615
366	6662	599
367	6685	581
368	6721	564
369	6751	547
370	6778	529
371	6797	511
372	6833	494
373	6861	477
374	6885	459
375	6918	441
376	6957	424
377	6987	406
378	7013	388
379	7047	370
380	7083	353
381	7136	336
382	7163	317
383	7224	301
384	7264	283
385	7309	265
386	7331	246
387	7356	227
388	7396	209
389	7429	190
390	7470	171
391	7495	152
392	7531	134
393	7560	115
394	7599	96
395	7635	77
396	7664	57
397	7705	38
398	7732	19
399	7758	0
