iter	Logloss
0	0.6853769291
1	0.6777916067
2	0.6703364875
3	0.6630118229
4	0.6558414436
5	0.648802641
6	0.6419020179
7	0.6351330064
8	0.6284902302
9	0.6219680372
10	0.6155821696
11	0.609302201
12	0.6031410384
13	0.5970712769
14	0.5911151113
15	0.5852588223
16	0.5795340612
17	0.5739045531
18	0.5683570292
19	0.5629101326
20	0.5575635925
21	0.5523033292
22	0.5471503095
23	0.5420832308
24	0.5371033683
25	0.5322085592
26	0.5273926259
27	0.5226697659
28	0.5180151108
29	0.5134402184
30	0.5089455445
31	0.5045135169
32	0.500166028
33	0.4958895368
34	0.4916894519
35	0.4875338818
36	0.4834518398
37	0.4794527708
38	0.4755168515
39	0.4716455687
40	0.4678357275
41	0.4640868697
42	0.4604030575
43	0.4567464815
44	0.4531832039
45	0.449668998
46	0.4462112763
47	0.4427896018
48	0.439438036
49	0.436129096
50	0.4328880594
51	0.4296904343
52	0.4265348861
53	0.4234384965
54	0.4203667391
55	0.4173582903
56	0.4143797206
57	0.411454628
58	0.4085645031
59	0.4057308265
60	0.4029487306
61	0.4002116879
62	0.3975092378
63	0.3948466206
64	0.3922174931
65	0.3896428156
66	0.3871071107
67	0.3845989271
68	0.3821372276
69	0.3797118164
70	0.377307485
71	0.3749506312
72	0.3726354242
73	0.3703577208
74	0.3680787043
75	0.3658662133
76	0.363687461
77	0.3615329312
78	0.3594271414
79	0.3573206077
80	0.3552679875
81	0.3532445017
82	0.3512380296
83	0.3492543215
84	0.3472990131
85	0.345369171
86	0.3434701983
87	0.3415826541
88	0.3397474992
89	0.3379347878
90	0.3361572353
91	0.3343864562
92	0.332620695
93	0.3309131533
94	0.3292049237
95	0.3275264866
96	0.3258781854
97	0.3242355208
98	0.3226593799
99	0.3210422391
