iter	Passed	Remaining
0	6	635
1	14	687
2	19	630
3	25	617
4	30	582
5	36	579
6	44	585
7	48	562
8	54	547
9	58	528
10	63	509
11	68	501
12	74	496
13	78	482
14	83	471
15	88	464
16	93	455
17	97	445
18	102	435
19	106	425
20	110	416
21	115	411
22	121	405
23	126	399
24	130	392
25	135	386
26	140	380
27	144	372
28	149	366
29	155	363
30	160	356
31	164	350
32	169	344
33	174	337
34	178	331
35	182	324
36	187	318
37	191	312
38	198	309
39	203	305
40	211	304
41	220	305
42	226	299
43	233	296
44	238	291
45	243	285
46	247	279
47	252	273
48	257	267
49	262	262
50	267	257
51	272	251
52	277	245
53	281	239
54	285	233
55	290	228
56	294	222
57	300	217
58	304	211
59	308	205
60	313	200
61	318	195
62	323	190
63	327	184
64	332	178
65	336	173
66	341	168
67	345	162
68	350	157
69	355	152
70	360	147
71	364	141
72	368	136
73	373	131
74	378	126
75	383	121
76	387	115
77	392	110
78	398	105
79	402	100
80	409	96
81	416	91
82	424	86
83	428	81
84	435	76
85	440	71
86	445	66
87	449	61
88	454	56
89	458	50
90	464	45
91	469	40
92	473	35
93	478	30
94	482	25
95	487	20
96	491	15
97	496	10
98	501	5
99	506	0
